product_id,category,price,rating,review_count,brand,features
PROD_000000,Electronics,31.8968888271369,3.964987052868021,113,BrandE,"[0.4680926507835397, 0.9944550117496791, 0.13138134238969545, 0.006729888698908559, 0.7710936139643761, 0.5889986803580364, 0.2620443466516118, 0.8761096561939902, 0.3148896612824047, 0.06130406063959626]"
PROD_000001,Electronics,779.9772975694236,2.3897707747930164,5167,BrandB,"[0.1070897882322106, 0.2743270425854031, 0.4001529429116125, 0.7137352519367576, 0.5760438514369064, 0.7389956033803327, 0.8246214731929774, 0.40048754373157525, 0.005874795593614257, 0.7079314016481244]"
PROD_000002,Clothing,120.99116707381532,3.813924392946591,8162,BrandA,"[0.32032978380721744, 0.6992081991208725, 0.001004108012256144, 0.17799004670932084, 0.5703572677629376, 0.7634832830099566, 0.6249010177130975, 0.8047353586679888, 0.34269885083012375, 0.20660440915469114]"
PROD_000003,Clothing,217.4477572055502,4.594875211131379,6571,BrandD,"[0.11859207054277066, 0.2243993497338782, 0.8353779820762789, 0.6629775157918485, 0.6375519365358882, 0.4973445185049612, 0.38882605864513364, 0.687099496402661, 0.9504626094840836, 0.1547897653694129]"
PROD_000004,Clothing,641.4382115262863,4.800865350875291,2847,BrandA,"[0.524261087331478, 0.47878365585396165, 0.44258821996767006, 0.0076192250083940705, 0.7255005770734405, 0.564699760749429, 0.6226123413413686, 0.28202306139852185, 0.3787318526835638, 0.09099089761098544]"
PROD_000005,Clothing,21.359546660605908,2.68586829995487,4430,BrandD,"[0.8921100209738994, 0.5280495512328975, 0.4802821318437961, 0.5258022312596382, 0.2035264799604547, 0.6695630517134702, 0.10357597545577624, 0.35734468672476283, 0.48489109021712173, 0.4859515977118366]"
PROD_000006,Electronics,995.8443774318023,3.1922208583820164,9645,BrandC,"[0.2779457883232963, 0.2545333467681208, 0.17175130219502466, 0.171697699692399, 0.49696359758605735, 0.5235007447732183, 0.010004439499134432, 0.3407287545054998, 0.5519441346507027, 0.8537387833897082]"
PROD_000007,Electronics,685.2887083354032,3.5539991500823787,5505,BrandA,"[0.6526941018775605, 0.37034190152328605, 0.3992117036286079, 0.8079719979030243, 0.7267464136973465, 0.6966666022051377, 0.8805574786288943, 0.7250470515996577, 0.8963210774537158, 0.2653420032285091]"
PROD_000008,Electronics,471.16743805036793,3.4746721850672304,9613,BrandD,"[0.37341392214415525, 0.5671780916355929, 0.9601476757409005, 0.24517104100146492, 0.577502499648534, 0.7857014888821142, 0.9613459474451872, 0.7629317003599236, 0.6250051045795313, 0.3657696294606444]"
PROD_000009,Electronics,287.8908416910103,4.873066945253104,4254,BrandE,"[0.3600267913893238, 0.008745535485169986, 0.8018750289963968, 0.09817881708856047, 0.791310727791356, 0.03207655643980967, 0.6328568434311491, 0.9151868498636814, 0.071484307934089, 0.8613350231535871]"
PROD_000010,Books,144.63473700684304,2.774431055984419,3065,BrandA,"[0.5461806250569364, 0.6356550471679265, 0.38320631754154, 0.5388258337229139, 0.6473652829404622, 0.07360179224546348, 0.9395144175753337, 0.5545912283445852, 0.9485135599913611, 0.3899985445018058]"
PROD_000011,Books,616.2549620927273,2.075826236056539,1067,BrandD,"[0.8481629213766922, 0.7629767158228627, 0.9346575686748513, 0.14450704213540766, 0.8160438989590731, 0.5685099398501905, 0.1450853795637992, 0.2165033610379683, 0.5825304735856524, 0.9673392617572544]"
PROD_000012,Books,649.0588059667781,4.390055578449372,5202,BrandD,"[0.1487434143688643, 0.7215355024212456, 0.7526441265399765, 0.31298139153565285, 0.26341229832374913, 0.8430999705448748, 0.3346436253120426, 0.17175725175722723, 0.8565215324588572, 0.662861203514888]"
PROD_000013,Electronics,953.8501379678104,1.7154675173978782,8974,BrandD,"[0.10750080871010659, 0.1348967503489069, 0.07471768912594956, 0.9247173861074952, 0.36430868714660725, 0.8048740267490292, 0.8718560366301532, 0.600810319075368, 0.21318930009202297, 0.16255114681352778]"
PROD_000014,Sports,570.0622789221912,3.5460293995968772,2934,BrandE,"[0.35653922982100505, 0.577945023957917, 0.03596070797468276, 0.005333925108825022, 0.2554031095104923, 0.6018117587178607, 0.18396421148112518, 0.3308351058007031, 0.46436016435207883, 0.2232650495672619]"
PROD_000015,Home,598.9884796487687,2.4226188195130463,9838,BrandB,"[0.314581133133488, 0.2429510080574525, 0.35364987739405473, 0.8284410592091748, 0.6926945871892616, 0.03815980787533546, 0.315196825671313, 0.3542637169138859, 0.3578774678710095, 0.7072720915893242]"
PROD_000016,Clothing,922.5796893363239,4.473170342272292,4712,BrandD,"[0.20511031306334193, 0.8950881252326323, 0.36230088393183446, 0.7872282842546595, 0.11781515381440011, 0.42458407326360104, 0.3001101137610197, 0.9546753931161756, 0.7908908218657525, 0.35153561852692916]"
PROD_000017,Clothing,145.85732521055309,2.098719182762669,6498,BrandB,"[0.7244168508461829, 0.5561128657601676, 0.3524774509144877, 0.7253547751666828, 0.3217757937883695, 0.5844147726950916, 0.6102329754106904, 0.14714329230080747, 0.5539189958598408, 0.6892789753952387]"
PROD_000018,Home,854.7751856602158,2.8237747283388708,6768,BrandC,"[0.0976892114641763, 0.0028147227576797995, 0.13488316097820985, 0.7642714516017131, 0.7243652166965481, 0.351870480738134, 0.9085886672514664, 0.7926882121948507, 0.1174378320410765, 0.028780726012599955]"
PROD_000019,Electronics,508.50594500431515,4.233670591490357,6282,BrandB,"[0.2995024549447326, 0.8629093268467404, 0.8726826752414544, 0.15718319056075658, 0.40785993650710084, 0.7655174247759905, 0.5648868679276844, 0.4085373422493358, 0.9847432938553516, 0.47965915537253656]"
