product_id,category,price,rating,review_count,brand,features
PROD_000000,Sports,945.071304656812,2.3645107681435134,169,BrandC,"[0.7279522772088758, 0.9714591756787891, 0.05400096342434302, 0.9256410137560206, 0.3263541854797348, 0.3419240233661033, 0.9307875468960131, 0.6747881161755732, 0.5747994826170716, 0.5779811561505976]"
PROD_000001,Home,388.1963727573974,1.1568056435822665,3267,BrandA,"[0.734256412765591, 0.7472519412590752, 0.8438975282520914, 0.11328798016756969, 0.15002299289213994, 0.09682235548538365, 0.5593868462094825, 0.3599413047390023, 0.49244167154726304, 0.8000525126631196]"
PROD_000002,Home,264.2059127021643,4.470825347582559,3454,BrandC,"[0.17433554990159572, 0.017503122211776856, 0.9763534459012011, 0.52820305261221, 0.719688792239297, 0.2482729671365057, 0.42719222788845734, 0.5033591124480897, 0.018876294371854563, 0.5482301359021166]"
PROD_000003,Books,925.5113858722734,2.556783781522755,1807,BrandC,"[0.9546844414953927, 0.9613231848887183, 0.24350567525667188, 0.6673301535998077, 0.01857775317900323, 0.9699080982325159, 0.9079940568936814, 0.8796407741646074, 0.5636268215962195, 0.510645874622655]"
PROD_000004,Home,362.3560802827531,1.050048047784482,9947,BrandE,"[0.7783923891650419, 0.8131400005062716, 0.866352266288104, 0.5653074805483421, 0.8107762177459238, 0.11800160388778314, 0.04047325998854334, 0.6160598293248806, 0.4961675332169344, 0.97119071195126]"
PROD_000005,Books,528.6642425656721,1.7653566042669118,708,BrandB,"[0.08033369328740592, 0.5355944471988853, 0.3416780907552469, 0.8399192469284628, 0.7319144996603744, 0.28278725869923105, 0.7662780798359157, 0.4469157513152694, 0.16048564653269948, 0.179505300078039]"
PROD_000006,Electronics,932.6341043866755,3.3871468767970887,8672,BrandD,"[0.5626889295538643, 0.5614656901112383, 0.5951512161147815, 0.7624519190504825, 0.4426106333855133, 0.44394246312427255, 0.09389768227309758, 0.37324025202229183, 0.11972010056596516, 0.7085058817749718]"
PROD_000007,Books,834.5607061437455,1.9351380575996515,3346,BrandC,"[0.4334366638285899, 0.69171511016939, 0.30519841854837526, 0.43674820203247977, 0.6259303081139804, 0.5134453820615978, 0.3358056518562098, 0.7958583321475903, 0.44147732324782285, 0.6580189432861769]"
PROD_000008,Books,416.4279447254864,4.400410164708189,9907,BrandE,"[0.32660896954515073, 0.7651781740171025, 0.8985415417844569, 0.7336528258349729, 0.4316099806291612, 0.07291499606971574, 0.5014275128372034, 0.8674476199410013, 0.7386734681166143, 0.9378451164767962]"
PROD_000009,Sports,90.87196992596523,1.467391815377391,5539,BrandE,"[0.007868565441258468, 0.564913495594839, 0.822525129022851, 0.5948734969531662, 0.6462063568084675, 0.5187623430666045, 0.7610682149029733, 0.21304739079045598, 0.5493141133933122, 0.43319071463482317]"
